;CO2_to_DME_SG [CO2_treatment];CO2_to_CO_DRM [CO2_treatment];CO2_to_DMM [CO2_treatment];CO2_to_DMC_eth_carb_trans [CO2_treatment];CO2_to_FA_hydro [CO2_treatment];CO2_to_DMC_elec [CO2_treatment];CO2_to_FA_elec_lp [CO2_treatment];CO2_to_EtOH_elec [CO2_treatment];CO2_to_MeOH [CO2_treatment];CO2_to_PEP [CO2_treatment];CO2_to_CO_rWGS [CO2_treatment];CO2_to_FT [CO2_treatment];CO2_to_CH4 [CO2_treatment]
795;-0.6813595977753041;-0.8225591165715834;-0.18541773363243977;-1.9155164864675207;-5.503920403189832;170.38455740367363;-0.7015248661777328;-0.5524646820833286;-1.392233284393098;-3.3787708337638565;-0.9035319516497413;11.94590645629508;-0.5947783213242942
796;-1.163291419428675;-0.959736209010936;-0.22924373450863808;-1.1718455839241186;-4.95049990271867;164.14370159592056;-0.3570246986072728;-0.5010134312709144;-1.1584013201677248;-3.0712455904573686;-0.9947477538322114;11.223916568054587;-0.5890001631991141
797;-0.7165534056604758;-0.6750950240059334;-0.23927986148779878;-1.0749414779147335;-4.521130624566161;156.55753269564084;-0.11084328804587508;-0.4641646468592912;-1.2459838436761157;-5.273432393575659;-1.0244873369513015;9.42684106535367;-0.5873668362870499
798;-1.4069650549002743;-1.1466701627398457;-0.244989965165372;-3.0156374169034104;-4.031371260189411;154.10647729353835;0.3453974031583532;-0.5109894210683426;-1.1995993376059206;-5.094785713375987;-1.1196685643730326;10.789044579961004;-0.674838104504027
799;-1.206274282001806;-0.4416493965379787;-0.3466633888746168;-2.0140738213690876;-4.935486832985009;147.47149631582786;-0.7422383929983803;-0.4811904750745053;-1.1302969891086074;-5.023237472778612;-0.9074255480202406;8.732303597729414;-0.6144221427336204
800;-1.0872929242466078;-0.8545559994901474;-0.2657281112685278;-3.5473167558252903;-5.230961227252618;165.9275846679703;-0.48941426648633485;-0.40937770399577283;-1.087979467309435;-7.212759745440972;-1.085007229316768;10.63578809767227;-0.6202259752007082
801;-1.6138104794607309;-1.1982898997267186;-0.22003059050792878;-1.9504409765130377;-4.976908471575792;161.87219253692658;-0.42076006946216155;-0.5329224546761633;-1.1969422755529489;-5.10212979004243;-1.1226187785977284;11.148470658361658;-0.5714409912623485
802;-1.5116386092505254;-0.9189680393122204;-0.2851509071345853;-1.9423646390237086;-3.6489912966340565;153.88380449329665;0.6759774846821978;-0.6144487171968954;-1.1786041344868878;-4.336745247347107;-0.962108246574796;10.512045272560147;-0.6102352581952869
803;-0.4830473670416688;-0.45760286643631987;-0.15243902278126625;-1.2963245609907816;-3.36266785735745;199.44759721515553;2.269715215213043;-0.30226273367583484;-0.9790175608043633;-6.516209483518105;-0.9662847644213312;12.812389918080127;-0.7038318424733454
804;-1.2779458707918177;-1.0035989266106122;-0.21240883126103105;-0.9535710120553978;-4.3515115911232325;161.80138106086775;0.17029305555608484;-0.4908891162689987;-1.2158894997708487;-5.541587730111186;-1.0545186707566965;10.730780342576763;-0.579984089723332
805;-0.8410559445424619;-0.6899654763516658;-0.34278759410450454;-1.7232829440551267;-4.0425569959698455;159.4694434403497;0.47734325031892116;-0.4139536946325295;-1.1262994166026505;-4.838668336661424;-0.9581027091860758;10.322893542136239;-0.6361815511834182
806;-0.7815143378494003;-0.5223392921910653;-0.33163723980145393;-1.7478052046269108;-3.822134882908095;151.36126907640588;0.4686740898504004;-0.44745249810370585;-1.1574389347137641;-4.336154956028875;-0.9589996776647131;9.26052873852916;-0.7073598953366517
807;-0.9334762011060875;-1.0458182393448667;-0.3327122276602728;-2.769807189917616;-3.18330129673036;151.3762042683463;1.1181083461789665;-0.6406108850200964;-1.1753566656802559;-3.2963237865463637;-1.0871143161624837;10.057159841263802;-0.602774640531246
808;-2.0939654181198333;-0.989291977941926;-0.33058299761739574;-2.0605512974885003;-4.211678932966696;156.20983866053766;0.220811742341494;-0.5272370635717277;-1.2684083401136312;-3.6072322618453945;-1.179981881715969;9.883204780824157;-0.6669258409887632
809;-0.6866198252072983;-1.089448027031209;-0.17313831088518225;-1.2660368154810437;-5.706734897166463;164.59881156001015;-1.1113347831993563;-0.5496532295026915;-1.1062105375004274;-4.395820913367849;-0.9814638014116852;11.824726672606014;-0.5681284822534901
810;-1.6889206978933786;-0.6058419793109255;-0.2278134990130879;-2.6396848282564362;-4.505455198411546;171.75709046394198;0.3960222498136923;-0.37305160351917144;-1.1595878082400353;-5.319761356237144;-0.9092365623458262;11.344779090396905;-0.5848997117853588
811;-2.706947791566235;-0.8837375528971076;-0.40670785017030003;-2.845518072886006;-4.045739523465669;131.25645393695683;-0.306921306715363;-0.605191040964343;-1.3166216809486593;-3.998262146878573;-0.9934956321422612;8.669832021987242;-0.6649299283732816
812;-1.0404400854774216;-0.9208479739383578;-0.2245662771662255;-1.4772074368536463;-4.488010277171443;161.52168438220733;0.07424921349041323;-0.46951438084699293;-1.036221235720587;-5.417476532034943;-1.0357529805263441;10.939860668490203;-0.6584961470734721
813;-0.6492595142383898;-0.481828645839699;-0.29927836441725686;-1.5405419442286252;-3.5508703384291955;161.27029637923778;1.0246904325450767;-0.3624008167275228;-1.1796147951066265;-6.187175022218814;-1.016155239697862;9.324452034220812;-0.6329544954559315
814;-1.4546656293614768;-1.1723669173195095;-0.28064890940425236;-2.322633674327695;-3.930377575033969;138.38072669478504;-0.016287498922351956;-0.55351332287658;-1.0420280003346243;-5.443189299763043;-1.101837519167982;9.363467377557402;-0.576572192649257
815;-0.9078485246675272;-1.0570718119432871;-0.3603424629283005;-2.623096178515919;-4.693766999714502;137.43517392856128;-0.7800792236272696;-0.501042976884482;-1.3382693778309578;-5.328410033009424;-1.1670190032175836;8.598911197961241;-0.6028649297972178
816;-0.9600884045035869;-0.5401658703743946;-0.33425358540771266;-1.9171933890617543;-5.292249646984626;147.82035659596613;-1.1221986555404344;-0.5053604264867684;-1.164247713479199;-3.9646160679196547;-0.9287477224067386;9.164932728796359;-0.6817867546854433
817;-0.6986107022160887;-0.9347621676202508;-0.17615671506025538;-2.654597400124007;-2.8188078500977953;175.81133733485424;2.166784285900729;-0.5323271211844559;-1.0924310624185396;-5.553995227931065;-0.9742520280868696;12.28457692886004;-0.560647854403447
