;CO2_to_DME_SG [CO2_treatment];CO2_to_CO_DRM [CO2_treatment];CO2_to_DMM [CO2_treatment];CO2_to_DMC_eth_carb_trans [CO2_treatment];CO2_to_FA_hydro [CO2_treatment];CO2_to_DMC_elec [CO2_treatment];CO2_to_FA_elec_lp [CO2_treatment];CO2_to_EtOH_elec [CO2_treatment];CO2_to_MeOH [CO2_treatment];CO2_to_PEP [CO2_treatment];CO2_to_CO_rWGS [CO2_treatment];CO2_to_FT [CO2_treatment];CO2_to_CH4 [CO2_treatment]
0;-1.6531360862924869;-0.30357516105034854;-0.010392420345259445;-2.204518086730605;-5.0653444809399115;138.9236901077836;-1.0720938290108515;-0.14648447336381915;-0.9719524825680802;-4.206975953786494;-0.5094056092885206;10.076877255106021;-0.41598317020334563
1;-0.5574022834357835;-1.0208915112200119;0.19095017527390706;-2.015042376685733;-4.178496330827982;148.25620757375927;0.016296796999834703;-0.14715074755495208;-0.6089992588440443;-6.435675334900751;-0.8714407064538356;10.661576834305496;-0.24468232259123848
2;-1.1738374490498507;-0.3663805584061818;0.752228720476804;-1.2209085309049492;-3.881955853442393;162.1407226040223;0.46409752630971307;-0.005901569906789147;-0.32230770127658515;-2.9082523495215122;-0.35262527419752465;9.966442096022226;0.6667486491824078
3;-0.34923297258427083;-0.4766412876166266;0.6200362740888701;-2.2803479543538057;-2.8794204405992683;179.40983565511436;2.089052503888711;0.011670938004861303;-0.3356823826065103;-3.245317396125877;-0.5288494981727931;11.89226093315553;0.2614827807824153
4;-0.7677926328364723;-0.651117468679528;0.4539241266368561;-0.4145084074878165;-3.5805187104316563;152.15110025363444;0.5337901521416564;-0.06442647128625192;-0.3253364730654921;-3.5320613470874593;-0.5151485291139255;10.121583385268863;0.2741052416107498
5;-0.6904603806128274;-0.5802777331761064;0.029080207888717464;0.20125548178556857;-4.88837977255989;166.0461034113334;-0.24904658867555377;-0.1951645001470729;-1.046051911253599;-3.519526703234321;-0.6345630435856404;12.058385421868511;-0.3999158354664637
6;-0.11321177414737592;-0.34443584343377;0.19630683496585635;-2.1990648800471924;-5.022122042772529;140.36972989554613;-1.0345716625323833;0.03581442527577056;-0.8334692376703938;-3.8535782691532927;-0.469040743597972;9.876779282715653;-0.12230430514146244
7;-0.47471998239337093;-0.4180444359587767;0.3976580765945882;-2.0855286990475146;-3.458128677362915;167.34031844854374;1.2186949815024195;-0.21413325277301712;-1.1072366544950814;-5.16318515596102;-0.42793933629694014;12.525949466413559;-0.1418597876292045
8;-1.082600089002322;-0.4959218234748041;0.10451445010080185;-1.2866764529043788;-3.7100156641359003;163.36217499123043;0.9272827570130988;0.03616437871581167;-0.9708942441211366;-3.156791989249123;-0.6766085901453925;11.4704154605076;-0.3809364518312938
9;-1.0898558907636353;-0.41577188070311466;0.4908943743253223;-0.9405095121166327;-3.6551593073568975;166.0245185623377;0.889645776766362;-0.0864936435547114;-0.6737066577346019;-4.672992671546846;-0.5008024103068246;11.140463496491524;0.05815045537434236
10;-0.6552802446661767;-0.7204769506494297;0.25630074661828217;-0.8210272568096241;-2.677359642611443;160.84748276598222;1.8216248987712955;-0.04871579661491249;-0.8442844294630755;-2.17696644817367;-0.6290350011358542;11.794905650915458;-0.1629892552792634
11;0.09602624049521762;-0.54812579400361;0.19403990427403217;-2.3059054863683297;-4.180053324114991;149.62535078617415;0.048693625795145856;-0.048444089145159235;-0.4489771037359608;-5.824969186903511;-0.6278113746711597;10.434523024313345;-0.17191591839607623
12;-0.029390512891237352;-0.34213556388996347;0.6391587869818451;-2.1566702211512117;-3.508346503358434;161.43093724589207;0.9567927024729315;0.11348278024763189;-0.2734129594621448;-4.139367319439497;-0.294057582622432;11.311230558477535;0.3674639878748013
13;-0.15821415949395237;-0.6429560712529535;0.31722458038914725;-1.6957206315449342;-3.7545267672784948;151.25340863173517;0.4868207886457311;0.035338667109004594;-0.45926144655083767;-2.3148911205777303;-0.6547521511296888;10.231131107273592;-0.0036102494047327554
14;-0.09845719337620429;-0.13327724281846662;0.6394746389454941;-1.1062484603388723;-4.43462117630168;160.49975347291985;0.05050069479207471;0.2578270460785392;-0.28216414077421026;-3.1043215379412343;-0.1821892545199612;11.64445027242234;0.26711351161020236
